frame,class_id,conf,x1,y1,x2,y2
83, 17, 0.26, 0.299463, 0.355782, 0.495024, 0.578869
83, 12, 0.63, 0.445553, 0.491794, 1.360062, 1.491794
83, 12, 0.30, 0.551277, 0.449796, 1.120558, 1.327361
83, 3, 0.29, 0.609680, 0.304211, 0.687855, 0.422763
84, 17, 0.29, 0.293046, 0.349122, 0.501651, 0.577694
84, 17, 0.27, 0.068934, 0.494343, 0.223319, 0.815299
84, 12, 0.64, 0.444983, 0.492479, 1.390068, 1.492479
84, 12, 0.36, 0.550150, 0.448738, 1.136383, 1.335171
84, 3, 0.40, 0.610022, 0.302916, 0.693137, 0.424283
84, 3, 0.28, 0.855958, 0.726899, 1.131111, 1.205559
85, 12, 0.63, 0.447485, 0.493015, 1.377913, 1.493015
85, 12, 0.27, 0.551725, 0.449058, 1.113583, 1.278814
85, 3, 0.46, 0.612048, 0.302055, 0.694254, 0.425468
85, 3, 0.27, 0.855546, 0.726593, 1.127834, 1.219519
86, 17, 0.26, 0.070607, 0.461761, 0.242889, 0.721837
86, 12, 0.64, 0.448153, 0.492684, 1.346339, 1.492684
86, 12, 0.27, 0.551993, 0.448971, 1.113708, 1.271880
86, 3, 0.32, 0.613268, 0.300325, 0.696166, 0.424095
87, 12, 0.69, 0.448038, 0.490127, 1.357207, 1.490127
87, 3, 0.51, 0.615713, 0.299232, 0.705709, 0.426032
87, 3, 0.29, 0.857603, 0.727990, 1.122370, 1.205279
88, 12, 0.58, 0.446995, 0.490431, 1.411895, 1.490431
88, 3, 0.51, 0.604978, 0.290605, 0.715281, 0.408837
89, 17, 0.25, 0.324715, 0.355991, 0.492182, 0.564586
89, 12, 0.64, 0.488535, 0.492048, 1.457134, 1.492048
89, 3, 0.55, 0.618166, 0.294856, 0.716102, 0.421798
